"Newbie" "Age" "Gender" "Household.Income" "Sexual.Preference" "Education.Attainment" "Major.Occupation" "Marital.Status"
1 43 "Female" "$40-49" "Heterosexual" "Masters" "Professional" "Single"
1 38 "Female" "$75-99" "Heterosexual" "College" "Other" "Married"
0 35 "Male" "$75-99" "Heterosexual" "College" "Management" "Separated"
0 19 "Male" "Over $100" "Heterosexual" "College" "Education" "Single"
0 26 "Male" "$20-29" "Heterosexual" "Some College" "Professional" "Married"
0 49 "Male" "$30-39" "Heterosexual" "Some College" "Other" "Married"
1 20 "Female" "$20-29" "Heterosexual" "Some College" "Computer" "Single"
1 23 "Male" "$30-39" "Bisexual" "Special" "Management" "Single"
0 28 "Male" "$30-39" "Heterosexual" "Special" "Computer" "Single"
0 34 "Male" "$40-49" "Heterosexual" "College" "Computer" "Single"
0 23 "Female" "Under $10" "Heterosexual" "Some College" "Education" "Single"
0 26 "Male" "Over $100" "Gay male" "College" "Computer" "Single"
0 71 "Male" "$75-99" "Heterosexual" "Professional" "Professional" "Married"
0 25 "Male" "$20-29" "Heterosexual" "Masters" "Education" "Single"
0 23 "Female" "$40-49" "Heterosexual" "College" "Professional" "Single"
0 33 "Male" "$50-74" "Heterosexual" "College" "Management" "Married"
0 56 "Female" "$40-49" "Heterosexual" "Doctoral" "Computer" "Single"
0 21 "Female" "$10-19" "Heterosexual" "Some College" "Education" "Married"
0 51 "Female" "$40-49" "Heterosexual" "Masters" "Education" "Single"
1 54 "Male" "$10-19" "Heterosexual" "Masters" "Computer" "Divorced"
0 29 "Male" "Over $100" "Heterosexual" "Professional" "Professional" "Married"
0 56 "Male" "$30-39" "Heterosexual" "Some College" "Management" "Married"
0 51 "Male" "$50-74" "Heterosexual" "Some College" "Other" "Married"
0 21 "Male" "$30-39" "Heterosexual" "Some College" "Education" "Married"
0 39 "Female" "$50-74" "Heterosexual" "High School" "Other" "Married"
0 20 "Male" "$40-49" "Heterosexual" "Some College" "Computer" "Other"
0 50 "Male" "$50-74" "Heterosexual" "Special" "Computer" "Married"
0 28 "Female" "$40-49" "Heterosexual" "Masters" "Management" "Single"
0 56 "Male" "$50-74" "Heterosexual" "Special" "Computer" "Married"
0 24 "Male" "$30-39" "Heterosexual" "Some College" "Computer" "Other"
0 24 "Male" "$20-29" "Heterosexual" "Some College" "Computer" "Single"
0 27 "Female" "Over $100" "Heterosexual" "Masters" "Computer" "Married"
1 29 "Female" "$30-39" "Bisexual" "Some College" "Computer" "Married"
1 52 "Male" "Over $100" "Heterosexual" "College" "Professional" "Married"
0 22 "Female" "$75-99" "Heterosexual" "Some College" "Education" "Single"
0 25 "Female" "$75-99" "Heterosexual" "Masters" "Management" "Married"
0 39 "Male" "$30-39" "Bisexual" "College" "Computer" "Other"
0 60 "Male" "$40-49" "Heterosexual" "High School" "Other" "Married"
1 39 "Male" "$40-49" "Heterosexual" "Some College" "Computer" "Divorced"
0 47 "Male" "$50-74" "Heterosexual" "Professional" "Education" "Married"
0 54 "Male" "$75-99" "Heterosexual" "Doctoral" "Education" "Married"
0 48 "Female" "$50-74" "Heterosexual" "College" "Professional" "Divorced"
0 28 "Male" "$50-74" "Heterosexual" "Some College" "Computer" "Married"
0 40 "Female" "Over $100" "Heterosexual" "Masters" "Management" "Married"
0 28 "Male" "$50-74" "Heterosexual" "College" "Computer" "Other"
1 25 "Female" "$75-99" "Heterosexual" "Masters" "Management" "Single"
0 28 "Male" "$10-19" "Heterosexual" "Some College" "Computer" "Single"
0 21 "Male" "$30-39" "Heterosexual" "Some College" "Education" "Single"
0 27 "Male" "$40-49" "Heterosexual" "Some College" "Computer" "Married"
0 55 "Male" "Over $100" "Heterosexual" "Professional" "Professional" "Married"
0 39 "Male" "$50-74" "Heterosexual" "College" "Computer" "Married"
0 43 "Male" "$50-74" "Heterosexual" "Some College" "Professional" "Other"
1 27 "Male" "$20-29" "Heterosexual" "Masters" "Management" "Single"
0 37 "Male" "$50-74" "Heterosexual" "Some College" "Professional" "Married"
0 27 "Male" "$10-19" "Gay male" "Doctoral" "Education" "Single"
1 33 "Female" "$40-49" "Heterosexual" "High School" "Other" "Married"
1 29 "Male" "Under $10" "Heterosexual" "Special" "Other" "Single"
0 32 "Male" "$50-74" "Heterosexual" "Doctoral" "Professional" "Other"
0 40 "Male" "$20-29" "Heterosexual" "Doctoral" "Computer" "Married"
1 75 "Male" "$20-29" "Heterosexual" "High School" "Other" "Married"
0 41 "Female" "$50-74" "Heterosexual" "Masters" "Education" "Married"
1 37 "Female" "$20-29" "Heterosexual" "Some College" "Other" "Separated"
1 41 "Male" "$40-49" "Heterosexual" "College" "Professional" "Married"
0 27 "Male" "$30-39" "Bisexual" "High School" "Computer" "Single"
0 23 "Male" "$10-19" "Heterosexual" "Some College" "Computer" "Single"
0 23 "Male" "$20-29" "Heterosexual" "College" "Computer" "Single"
0 53 "Male" "$75-99" "Heterosexual" "College" "Management" "Married"
0 28 "Male" "$30-39" "Heterosexual" "College" "Computer" "Single"
0 27 "Female" "$30-39" "Heterosexual" "Special" "Professional" "Divorced"
0 31 "Male" "$50-74" "Heterosexual" "Masters" "Computer" "Married"
0 34 "Male" "$20-29" "Heterosexual" "Special" "Other" "Single"
0 55 "Male" "Over $100" "Heterosexual" "College" "Management" "Married"
0 32 "Male" "Over $100" "Heterosexual" "Doctoral" "Computer" "Married"
0 35 "Female" "$10-19" "Heterosexual" "College" "Other" "Single"
1 66 "Male" "$40-49" "Heterosexual" "Some College" "Other" "Married"
0 51 "Male" "$50-74" "Heterosexual" "College" "Management" "Married"
0 31 "Male" "$30-39" "Heterosexual" "Other" "Computer" "Single"
1 25 "Female" "$20-29" "Heterosexual" "College" "Computer" "Single"
0 42 "Male" "$50-74" "Heterosexual" "Masters" "Education" "Married"
0 45 "Female" "$20-29" "Heterosexual" "College" "Computer" "Divorced"
0 29 "Male" "$50-74" "Heterosexual" "College" "Computer" "Married"
0 26 "Male" "$30-39" "Heterosexual" "High School" "Computer" "Single"
0 27 "Female" "$20-29" "Bisexual" "College" "Computer" "Divorced"
0 46 "Male" "$75-99" "Heterosexual" "Other" "Computer" "Married"
0 60 "Male" "$75-99" "Heterosexual" "College" "Management" "Married"
1 18 "Male" "Under $10" "Heterosexual" "Other" "Education" "Other"
0 70 "Male" "$75-99" "Heterosexual" "College" "Professional" "Married"
0 33 "Male" "$75-99" "Heterosexual" "College" "Computer" "Married"
1 18 "Female" "Over $100" "Heterosexual" "High School" "Education" "Single"
0 37 "Male" "Under $10" "Heterosexual" "Some College" "Education" "Single"
1 17 "Male" "$50-74" "Heterosexual" "Grammar" "Other" "Single"
0 46 "Male" "Over $100" "Heterosexual" "College" "Professional" "Married"
0 24 "Female" "$20-29" "Heterosexual" "Masters" "Computer" "Single"
0 29 "Male" "$75-99" "Gay male" "College" "Management" "Other"
0 43 "Female" "$40-49" "Heterosexual" "Some College" "Other" "Divorced"
0 37 "Male" "Over $100" "Heterosexual" "College" "Professional" "Married"
1 30 "Female" "$20-29" "Heterosexual" "College" "Professional" "Single"
0 20 "Female" "$50-74" "Heterosexual" "Some College" "Education" "Single"
0 31 "Male" "$50-74" "Heterosexual" "College" "Computer" "Married"
1 40 "Male" "Over $100" "Heterosexual" "College" "Professional" "Married"
0 40 "Female" "Over $100" "Heterosexual" "College" "Computer" "Married"
0 29 "Male" "$40-49" "Heterosexual" "Other" "Computer" "Married"
0 25 "Male" "$50-74" "Heterosexual" "College" "Computer" "Married"
0 43 "Male" "$20-29" "Heterosexual" "Some College" "Management" "Married"
0 39 "Male" "Over $100" "Heterosexual" "Doctoral" "Management" "Married"
0 49 "Male" "Over $100" "Heterosexual" "Masters" "Professional" "Married"
1 53 "Male" "$50-74" "Heterosexual" "College" "Other" "Married"
1 56 "Female" "$30-39" "Heterosexual" "Some College" "Education" "Married"
0 50 "Female" "$10-19" "Lesbian" "Some College" "Computer" "Other"
1 34 "Female" "$20-29" "Heterosexual" "Some College" "Professional" "Single"
0 46 "Male" "$10-19" "Heterosexual" "Masters" "Professional" "Single"
1 41 "Male" "$40-49" "Heterosexual" "College" "Management" "Married"
0 23 "Male" "$30-39" "Heterosexual" "College" "Computer" "Single"
1 36 "Male" "$10-19" "Heterosexual" "Some College" "Computer" "Other"
0 25 "Male" "$20-29" "Heterosexual" "Some College" "Computer" "Single"
0 25 "Female" "$75-99" "Bisexual" "Masters" "Computer" "Single"
0 28 "Male" "$50-74" "Heterosexual" "College" "Management" "Married"
0 29 "Female" "$50-74" "Heterosexual" "Some College" "Professional" "Married"
1 23 "Female" "Under $10" "Heterosexual" "Some College" "Education" "Single"
1 26 "Female" "$20-29" "Heterosexual" "Some College" "Management" "Married"
0 33 "Male" "$30-39" "Heterosexual" "Some College" "Computer" "Single"
0 62 "Male" "$75-99" "Heterosexual" "Masters" "Education" "Married"
0 34 "Male" "$50-74" "Heterosexual" "Masters" "Computer" "Divorced"
0 49 "Male" "$50-74" "Heterosexual" "College" "Management" "Married"
0 53 "Male" "$50-74" "Heterosexual" "Some College" "Other" "Married"
0 54 "Male" "$40-49" "Heterosexual" "Professional" "Education" "Married"
0 33 "Male" "Over $100" "Heterosexual" "College" "Computer" "Single"
0 22 "Female" "Over $100" "Heterosexual" "College" "Education" "Single"
1 17 "Female" "$40-49" "Heterosexual" "High School" "Education" "Single"
1 29 "Female" "$10-19" "Heterosexual" "Some College" "Computer" "Separated"
0 27 "Male" "$30-39" "Heterosexual" "Masters" "Education" "Single"
0 46 "Male" "Over $100" "Heterosexual" "Masters" "Computer" "Married"
0 26 "Male" "$40-49" "Heterosexual" "Some College" "Computer" "Single"
1 60 "Female" "Over $100" "Heterosexual" "Masters" "Professional" "Married"
0 51 "Male" "$40-49" "Heterosexual" "College" "Management" "Married"
0 35 "Male" "$30-39" "Heterosexual" "College" "Professional" "Married"
0 25 "Female" "$50-74" "Heterosexual" "College" "Other" "Married"
0 27 "Male" "$40-49" "Heterosexual" "College" "Professional" "Single"
0 24 "Male" "Under $10" "Heterosexual" "Some College" "Education" "Single"
1 55 "Male" "$50-74" "Heterosexual" "College" "Education" "Single"
1 53 "Female" "$75-99" "Heterosexual" "High School" "Professional" "Married"
0 29 "Male" "$10-19" "Heterosexual" "Some College" "Education" "Married"
0 31 "Female" "$50-74" "Heterosexual" "Some College" "Computer" "Married"
0 32 "Male" "$75-99" "Heterosexual" "Masters" "Computer" "Married"
1 55 "Female" "Over $100" "Heterosexual" "College" "Management" "Married"
0 25 "Male" "$40-49" "Heterosexual" "Some College" "Management" "Other"
1 28 "Male" "$40-49" "Heterosexual" "College" "Computer" "Single"
0 23 "Female" "$40-49" "Heterosexual" "Some College" "Other" "Married"
1 55 "Male" "Over $100" "Heterosexual" "Other" "Management" "Married"
0 46 "Male" "$40-49" "Heterosexual" "Masters" "Computer" "Single"
0 46 "Male" "$40-49" "Heterosexual" "Masters" "Computer" "Other"
0 29 "Male" "$50-74" "Heterosexual" "College" "Computer" "Divorced"
1 23 "Female" "$20-29" "Heterosexual" "Special" "Computer" "Single"
0 24 "Male" "$10-19" "Heterosexual" "Some College" "Computer" "Single"
1 49 "Female" "$75-99" "Heterosexual" "College" "Education" "Married"
0 38 "Male" "$50-74" "Heterosexual" "Masters" "Management" "Other"
0 14 "Female" "$30-39" "Heterosexual" "Other" "Education" "Single"
0 24 "Male" "$20-29" "Gay male" "College" "Computer" "Single"
0 28 "Male" "$40-49" "Heterosexual" "College" "Computer" "Married"
0 27 "Male" "$10-19" "Heterosexual" "Special" "Education" "Single"
0 56 "Female" "Over $100" "Lesbian" "Doctoral" "Professional" "Other"
0 48 "Male" "$50-74" "Heterosexual" "Some College" "Computer" "Married"
0 46 "Female" "$30-39" "Heterosexual" "High School" "Other" "Married"
0 50 "Male" "$75-99" "Heterosexual" "College" "Computer" "Married"
0 45 "Male" "$40-49" "Heterosexual" "Some College" "Management" "Married"
0 21 "Male" "$10-19" "Heterosexual" "Some College" "Computer" "Single"
0 57 "Male" "Over $100" "Heterosexual" "Some College" "Other" "Married"
0 50 "Female" "$75-99" "Bisexual" "Masters" "Computer" "Married"
0 28 "Male" "$50-74" "Heterosexual" "College" "Computer" "Married"
0 45 "Male" "$75-99" "Heterosexual" "Masters" "Professional" "Married"
1 45 "Male" "$40-49" "Heterosexual" "Other" "Professional" "Divorced"
0 50 "Male" "$75-99" "Heterosexual" "High School" "Computer" "Married"
1 32 "Male" "$75-99" "Heterosexual" "Some College" "Computer" "Married"
0 27 "Male" "$50-74" "Heterosexual" "Masters" "Computer" "Other"
0 54 "Male" "$50-74" "Heterosexual" "College" "Computer" "Married"
1 29 "Female" "$40-49" "Heterosexual" "Some College" "Management" "Married"
0 57 "Male" "$75-99" "Heterosexual" "Doctoral" "Professional" "Married"
1 23 "Female" "$20-29" "Heterosexual" "College" "Computer" "Single"
1 21 "Male" "$75-99" "Heterosexual" "High School" "Management" "Single"
0 21 "Female" "$20-29" "Heterosexual" "Some College" "Computer" "Single"
1 33 "Female" "$50-74" "Heterosexual" "Some College" "Computer" "Married"
0 36 "Male" "$30-39" "Heterosexual" "College" "Other" "Single"
0 40 "Female" "$20-29" "Heterosexual" "College" "Other" "Single"
0 21 "Male" "$75-99" "Heterosexual" "Some College" "Education" "Single"
0 39 "Male" "$40-49" "Heterosexual" "College" "Computer" "Single"
1 60 "Female" "$40-49" "Heterosexual" "Some College" "Other" "Married"
0 57 "Male" "$75-99" "Heterosexual" "Some College" "Management" "Married"
0 45 "Male" "$30-39" "Heterosexual" "Some College" "Computer" "Married"
0 29 "Male" "$50-74" "Heterosexual" "Masters" "Education" "Married"
0 23 "Male" "$10-19" "Heterosexual" "College" "Professional" "Single"
0 23 "Male" "$30-39" "Heterosexual" "Some College" "Computer" "Single"
1 30 "Female" "$20-29" "Heterosexual" "College" "Education" "Married"
0 33 "Male" "$75-99" "Heterosexual" "Masters" "Computer" "Separated"
1 25 "Male" "$40-49" "Heterosexual" "Masters" "Professional" "Single"
0 49 "Male" "$50-74" "Heterosexual" "Some College" "Management" "Separated"
0 16 "Male" "Over $100" "Heterosexual" "High School" "Education" "Single"
0 77 "Male" "$20-29" "Heterosexual" "Some College" "Other" "Married"
1 45 "Female" "$40-49" "Heterosexual" "College" "Professional" "Single"
0 47 "Female" "$40-49" "Heterosexual" "Other" "Other" "Married"
0 20 "Male" "$50-74" "Heterosexual" "Some College" "Education" "Single"
0 37 "Male" "$30-39" "Heterosexual" "Some College" "Professional" "Single"
1 49 "Male" "$50-74" "Heterosexual" "Doctoral" "Professional" "Married"
0 47 "Male" "Over $100" "Heterosexual" "Masters" "Management" "Married"
0 31 "Male" "Over $100" "Heterosexual" "College" "Computer" "Single"
1 59 "Male" "$50-74" "Heterosexual" "Some College" "Professional" "Married"
0 24 "Female" "$30-39" "Heterosexual" "Some College" "Other" "Other"
0 21 "Male" "Over $100" "Heterosexual" "College" "Education" "Single"
1 55 "Male" "$10-19" "Heterosexual" "Some College" "Computer" "Married"
0 32 "Male" "$50-74" "Heterosexual" "College" "Computer" "Married"
0 26 "Male" "Over $100" "Heterosexual" "College" "Computer" "Single"
1 57 "Female" "$50-74" "Heterosexual" "Special" "Computer" "Married"
1 33 "Male" "$50-74" "Heterosexual" "Some College" "Computer" "Married"
0 26 "Male" "$40-49" "Heterosexual" "College" "Computer" "Married"
0 36 "Male" "$30-39" "Heterosexual" "College" "Professional" "Single"
1 21 "Female" "$10-19" "Heterosexual" "Some College" "Professional" "Single"
0 31 "Male" "$30-39" "Heterosexual" "College" "Other" "Single"
0 37 "Male" "$50-74" "Heterosexual" "College" "Computer" "Other"
1 16 "Female" "Over $100" "Heterosexual" "High School" "Education" "Single"
0 65 "Male" "$50-74" "Gay male" "College" "Professional" "Other"
1 30 "Female" "$10-19" "Transgender" "Special" "Computer" "Divorced"
0 46 "Female" "$50-74" "Heterosexual" "College" "Professional" "Married"
0 20 "Female" "$75-99" "Heterosexual" "Some College" "Education" "Single"
0 22 "Male" "$10-19" "Heterosexual" "College" "Education" "Single"
1 60 "Male" "Over $100" "Heterosexual" "Some College" "Other" "Married"
1 45 "Female" "$40-49" "Heterosexual" "High School" "Professional" "Single"
0 29 "Male" "$50-74" "Heterosexual" "College" "Computer" "Married"
1 25 "Male" "$20-29" "Heterosexual" "Other" "Other" "Married"
0 24 "Male" "$10-19" "Heterosexual" "College" "Computer" "Other"
0 27 "Male" "$50-74" "Heterosexual" "College" "Management" "Married"
0 33 "Male" "$30-39" "Heterosexual" "College" "Computer" "Married"
0 21 "Male" "$30-39" "Heterosexual" "Some College" "Education" "Single"
0 57 "Male" "Over $100" "Heterosexual" "Professional" "Professional" "Married"
1 7 "Male" "$50-74" "Heterosexual" "College" "Professional" "Married"
